Origin,Total,Institution match fuzzy,Collection match none,Geodetic datum assumed WGS84,Coordinate rounded,Taxon match higherrank,Recorded date invalid,Country derived from coordinates,Institution match none,Institution collection mismatch,Collection match fuzzy,Taxon match none,Taxon match fuzzy,Country invalid,Country coordinate mismatch,Ambiguous institution,Type status invalid,Multimedia URI invalid,Geodetic datum invalid,Presumed negated longitude,Presumed swapped coordinate,Recorded date unlikely,Presumed negated latitude,Zero coordinate,Coordinate uncertainty metres invalid,Elevation non numeric,Elevation min/max swapped,Coordinate out of range,Basis of record invalid,Identified date unlikely,Coordinate reprojected,Coordinate precision invalid,Occurrence status inferred from individual count,Occurrence status unparsable,Individual count invalid,Coordinate invalid,Continent invalid,Depth min/max swapped,Multimedia date invalid,Country mismatch,Occurrence status inferred from basis of record,Individual count conflicts with occurrence status,Depth unlikely,Recorded date mismatch,Modified date unlikely,Elevation not metric,Different owner institution,Footprint SRS invalid,Coordinate reprojection failed,Footprint WKT invalid
Total,78758128,15112006,9200286,6362389,1927120,3047661,970567,2489479,11533663,6070589,9339125,1766059,887591,315083,181416,1859776,1319522,153624,299037,22945,3901,29460,9571,15124,23888,2420,1665,1032,792,269,721825,121361,4527120,59315,1695,41250,186544,12488,39438,32016,9949,110,291,137,14175,1,8921,1008,21,5212
DE,10634890,3252110,3034675,1223110,816917,518998,356378,356593,286347,269329,166978,100869,82130,42973,37568,32011,25912,18754,6319,2290,1285,836,793,711,524,287,93,86,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,1065303,165451,71438,78581,1276,158533,31,11773,1197,94013,0,21105,279211,32345,7527,0,54,0,8,3,132,37,0,0,6,0,12,6,0,1,48789,47028,43850,2798,65,25,7,1,0,0,0,0,0,0,0,0,0,0,0,0
FR,13847305,1501313,86746,1134407,26295,641776,12869,62949,238930,13382,6465229,969003,86170,90891,56356,1318718,79633,2,0,5016,311,5802,1033,481,0,0,125,205,0,0,0,21791,854221,45135,0,18321,38159,1447,39437,29565,1463,97,22,5,0,0,0,0,0,0
NL,11815608,151268,82522,4028,28000,732510,30,23874,8392800,30338,38408,81025,163180,64623,30656,49461,690,0,0,3130,99,2621,1728,24,78,1,7,0,784,131,0,915,1924132,0,25,7,1063,0,0,0,7394,0,0,1,54,1,0,0,0,0
GB,16147449,5761199,2044460,1540854,119035,507243,311948,69209,1216456,2867505,849627,462668,148128,2353,8761,0,201104,0,95,2529,525,18056,2947,119,946,13,978,21,0,6,410,0,0,0,0,20,85,9803,0,187,0,0,159,0,0,0,0,0,0,0
NO,8421797,1634199,283211,542333,635033,67730,94539,94163,9910,2562823,775704,32438,15328,711,10435,25203,6,15411,84839,2900,183,141,63,7747,19614,2119,90,264,0,96,403146,10633,1056144,11382,201,16790,2117,14,1,0,884,13,0,0,42,0,2168,1008,21,0
BE,5504622,55766,1857427,859857,118531,192274,882,29894,1055763,14320,0,20886,43392,32040,24349,0,999186,0,0,3510,124,935,2309,1443,2686,0,0,0,0,0,801,1540,160530,0,0,1509,0,0,0,709,1,0,0,72,14079,0,4595,0,0,5212
LU,1905576,0,22446,0,62,14066,0,1810084,0,0,46486,2865,3905,0,0,0,1137,0,0,0,0,0,0,4509,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,5236259,1648903,887592,649786,108820,56731,124229,290,0,0,761311,3021,21787,4294,2422,0,818,0,207481,1348,290,925,431,58,0,0,115,318,0,12,268679,29995,378908,0,558,4542,69969,4,0,1555,106,0,0,11,0,0,950,0,0,0
SE,1292195,197298,87236,280374,10228,72589,0,428,0,55816,54246,273,21882,5837,87,433848,5855,0,294,401,0,19,8,0,0,0,0,0,0,11,0,3429,55061,0,0,0,6796,78,0,0,101,0,0,0,0,0,0,0,0,0
DK,674837,44478,67119,29616,38253,11803,62759,24347,1665,163063,76800,34665,4603,34558,1016,535,33,543,0,252,1,40,12,32,0,0,0,3,0,0,0,0,9413,0,0,3,68343,882,0,0,0,0,0,0,0,0,0,0,0,0
AT,694821,335662,335662,0,0,6880,5293,244,0,0,0,306,2462,206,1000,0,4901,0,0,1468,239,28,244,0,4,0,187,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,271691,24607,0,0,1020,37818,0,111,177558,0,0,24485,5489,0,98,0,100,0,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,107,0,0,0,0,0,0,0
PT,338217,45469,45469,11920,19133,8095,1208,5357,38687,0,104336,241,2227,1241,840,0,82,0,1,57,694,9,3,0,30,0,0,94,0,6,0,6030,44861,0,846,17,5,0,0,0,0,0,3,48,0,0,1208,0,0,0
CZ,343673,168932,168932,100,98,1892,401,0,1996,0,0,2,1311,0,2,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK,393079,125351,125351,4921,4419,776,0,121,0,0,0,12207,747,0,199,0,0,118914,0,0,15,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,141615,0,0,2502,0,17947,0,42,112354,0,0,0,5639,3011,100,0,7,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
