Origin,Total,PRESERVED_SPECIMEN,FOSSIL_SPECIMEN,LIVING_SPECIMEN,MATERIAL_SAMPLE
Total,41000891,37745363,2679572,206056,369900
FR,9353647,8912720,440927,0,0
NL,8957680,8263074,645147,49459,0
GB,6978048,6307781,561596,108671,0
NO,4346952,4040668,0,4472,301812
DE,3789340,3031184,737282,20874,0
BE,2989493,2950574,5304,22580,11035
ES,1649853,1649444,0,0,409
FI,721646,721646,0,0,0
SE,631146,557037,74109,0,0
DK,359343,309182,0,0,50161
AT,335662,335662,0,0,0
EE,210054,1406,202165,0,6483
PT,189700,189700,0,0,0
CZ,170928,170928,0,0,0
SK,125351,125351,0,0,0
PL,112354,112354,0,0,0
LU,79694,66652,13042,0,0
